17:16:35.758881 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [S.], seq 1781188362, ack 3938161820, win 65535, options [mss 1460,sackOK,TS val 3280156 ecr 3060063,nop,wscale 6,mptcp capable csum {0x5d07cc395fa8dd93}], length 0
17:16:35.779537 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [S.], seq 1781188362, ack 3938161820, win 65535, options [mss 1460,sackOK,TS val 3280156 ecr 3060063,nop,wscale 6,mptcp capable csum {0x5d07cc395fa8dd93}], length 0
17:16:35.782843 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [S.], seq 1781188362, ack 3938161820, win 65535, options [mss 1460,sackOK,TS val 3280156 ecr 3060063,nop,wscale 6,mptcp capable csum {0x5d07cc395fa8dd93}], length 0
17:16:35.788261 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], ack 1, win 1339, options [nop,nop,TS val 3280187 ecr 3060180,mptcp add-addr id 3 112.26.1.1,mptcp dss ack 4086075562], length 0
17:16:36.578163 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 19805:21233, ack 1, win 1339, options [nop,nop,TS val 3280970 ecr 3060897,mptcp dss ack 4086075562 seq 1489198520 subseq 19805 len 1428 csum 0x2ae7], length 1428
17:16:36.665014 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 8381:9809, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489187096 subseq 8381 len 1428 csum 0x50c1], length 1428
17:16:36.668091 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 8381:9809, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489187096 subseq 8381 len 1428 csum 0x50c1], length 1428
17:16:36.685439 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 9809:11237, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489188524 subseq 9809 len 1428 csum 0x492d], length 1428
17:16:36.687131 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 9809:11237, ack 1, win 1339, options [nop,nop,TS val 3280194 ecr 3060180,mptcp dss ack 4086075562 seq 1489188524 subseq 9809 len 1428 csum 0x492d], length 1428
17:16:36.782860 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 12665:14093, ack 1, win 1339, options [nop,nop,TS val 3280257 ecr 3060180,mptcp dss ack 4086075562 seq 1489191380 subseq 12665 len 1428 csum 0xbab0], length 1428
17:16:36.794863 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 21233:22661, ack 1, win 1339, options [nop,nop,TS val 3281193 ecr 3061065,mptcp dss ack 4086075562 seq 1489199948 subseq 21233 len 1428 csum 0x73e7], length 1428
17:16:36.801686 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 12665:14093, ack 1, win 1339, options [nop,nop,TS val 3280257 ecr 3060180,mptcp dss ack 4086075562 seq 1489191380 subseq 12665 len 1428 csum 0xbab0], length 1428
17:16:36.871587 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 14093:15521, ack 1, win 1339, options [nop,nop,TS val 3280684 ecr 3060658,mptcp dss ack 4086075562 seq 1489192808 subseq 14093 len 1428 csum 0xd4a], length 1428
17:16:36.874575 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 14093:15521, ack 1, win 1339, options [nop,nop,TS val 3280684 ecr 3060658,mptcp dss ack 4086075562 seq 1489192808 subseq 14093 len 1428 csum 0xd4a], length 1428
17:16:36.901862 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 22661:24089, ack 1, win 1339, options [nop,nop,TS val 3281300 ecr 3061085,mptcp dss ack 4086075562 seq 1489201376 subseq 22661 len 1428 csum 0xd081], length 1428
17:16:36.968899 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 6953:8381, ack 1, win 1339, options [nop,nop,TS val 3281300 ecr 3061199,mptcp dss ack 4086075562 seq 1489185668 subseq 6953 len 1428 csum 0x812f], length 1428
17:16:36.997145 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 18377:19805, ack 1, win 1339, options [nop,nop,TS val 3280877 ecr 3060864,mptcp dss ack 4086075562 seq 1489197092 subseq 18377 len 1428 csum 0x6b45], length 1428
17:16:36.999174 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 18377:19805, ack 1, win 1339, options [nop,nop,TS val 3280877 ecr 3060864,mptcp dss ack 4086075562 seq 1489197092 subseq 18377 len 1428 csum 0x6b45], length 1428
17:16:37.071646 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 19805:21233, ack 1, win 1339, options [nop,nop,TS val 3280970 ecr 3060897,mptcp dss ack 4086075562 seq 1489198520 subseq 19805 len 1428 csum 0x2ae7], length 1428
17:16:37.095223 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 11237:12665, ack 1, win 1339, options [nop,nop,TS val 3281493 ecr 3061397,mptcp dss ack 4086075562 seq 1489189952 subseq 11237 len 1428 csum 0x78b3], length 1428
17:16:37.099382 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 21233:22661, ack 1, win 1339, options [nop,nop,TS val 3281193 ecr 3061065,mptcp dss ack 4086075562 seq 1489199948 subseq 21233 len 1428 csum 0x73e7], length 1428
17:16:37.170540 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 19805:21233, ack 1, win 1339, options [nop,nop,TS val 3280970 ecr 3060897,mptcp dss ack 4086075562 seq 1489198520 subseq 19805 len 1428 csum 0x2ae7], length 1428
17:16:37.183841 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 22661:24089, ack 1, win 1339, options [nop,nop,TS val 3281300 ecr 3061085,mptcp dss ack 4086075562 seq 1489201376 subseq 22661 len 1428 csum 0xd081], length 1428
17:16:37.274549 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 15521:16949, ack 1, win 1339, options [nop,nop,TS val 3281673 ecr 3061569,mptcp dss ack 4086075562 seq 1489194236 subseq 15521 len 1428 csum 0x78a5], length 1428
17:16:37.289172 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 6953:8381, ack 1, win 1339, options [nop,nop,TS val 3281300 ecr 3061199,mptcp dss ack 4086075562 seq 1489185668 subseq 6953 len 1428 csum 0x812f], length 1428
17:16:37.294106 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 21233:22661, ack 1, win 1339, options [nop,nop,TS val 3281193 ecr 3061065,mptcp dss ack 4086075562 seq 1489199948 subseq 21233 len 1428 csum 0x73e7], length 1428
17:16:37.308192 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 11237:12665, ack 1, win 1339, options [nop,nop,TS val 3281493 ecr 3061397,mptcp dss ack 4086075562 seq 1489189952 subseq 11237 len 1428 csum 0x78b3], length 1428
17:16:37.384165 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 22661:24089, ack 1, win 1339, options [nop,nop,TS val 3281300 ecr 3061085,mptcp dss ack 4086075562 seq 1489201376 subseq 22661 len 1428 csum 0xd081], length 1428
17:16:37.386310 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 16949:18377, ack 1, win 1339, options [nop,nop,TS val 3281774 ecr 3061693,mptcp dss ack 4086075562 seq 1489195664 subseq 16949 len 1428 csum 0x61f9], length 1428
17:16:37.414661 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 6953:8381, ack 1, win 1339, options [nop,nop,TS val 3281300 ecr 3061199,mptcp dss ack 4086075562 seq 1489185668 subseq 6953 len 1428 csum 0x812f], length 1428
17:16:37.468802 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 15521:16949, ack 1, win 1339, options [nop,nop,TS val 3281673 ecr 3061569,mptcp dss ack 4086075562 seq 1489194236 subseq 15521 len 1428 csum 0x78a5], length 1428
17:16:37.490844 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 11237:12665, ack 1, win 1339, options [nop,nop,TS val 3281493 ecr 3061397,mptcp dss ack 4086075562 seq 1489189952 subseq 11237 len 1428 csum 0x78b3], length 1428
17:16:37.503267 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 24089:25517, ack 1, win 1339, options [nop,nop,TS val 3281900 ecr 3061780,mptcp dss ack 4086075562 seq 1489202804 subseq 24089 len 1428 csum 0x6850], length 1428
17:16:37.567927 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 15521:16949, ack 1, win 1339, options [nop,nop,TS val 3281673 ecr 3061569,mptcp dss ack 4086075562 seq 1489194236 subseq 15521 len 1428 csum 0x78a5], length 1428
17:16:37.576418 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 25517:26945, ack 1, win 1339, options [nop,nop,TS val 3281900 ecr 3061813,mptcp dss ack 4086075562 seq 1489204232 subseq 25517 len 1428 csum 0x824e], length 1428
17:16:37.585964 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 16949:18377, ack 1, win 1339, options [nop,nop,TS val 3281774 ecr 3061693,mptcp dss ack 4086075562 seq 1489195664 subseq 16949 len 1428 csum 0x61f9], length 1428
17:16:37.605208 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 26945:28373, ack 1, win 1339, options [nop,nop,TS val 3281900 ecr 3061813,mptcp dss ack 4086075562 seq 1489205660 subseq 26945 len 1428 csum 0x84b], length 1428
17:16:37.668131 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 16949:18377, ack 1, win 1339, options [nop,nop,TS val 3281774 ecr 3061693,mptcp dss ack 4086075562 seq 1489195664 subseq 16949 len 1428 csum 0x61f9], length 1428
17:16:37.684589 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 24089:25517, ack 1, win 1339, options [nop,nop,TS val 3281900 ecr 3061780,mptcp dss ack 4086075562 seq 1489202804 subseq 24089 len 1428 csum 0x6850], length 1428
17:16:37.691430 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 28373:29801, ack 1, win 1339, options [nop,nop,TS val 3281900 ecr 3061813,mptcp dss ack 4086075562 seq 1489207088 subseq 28373 len 1428 csum 0x14a8], length 1428
17:16:37.706203 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 24089:25517, ack 1, win 1339, options [nop,nop,TS val 3281900 ecr 3061780,mptcp dss ack 4086075562 seq 1489202804 subseq 24089 len 1428 csum 0x6850], length 1428
17:16:37.713556 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 29801:31229, ack 1, win 1339, options [nop,nop,TS val 3281992 ecr 3061889,mptcp dss ack 4086075562 seq 1489208516 subseq 29801 len 1428 csum 0x3a49], length 1428
17:16:37.771388 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 25517:26945, ack 1, win 1339, options [nop,nop,TS val 3281900 ecr 3061813,mptcp dss ack 4086075562 seq 1489204232 subseq 25517 len 1428 csum 0x824e], length 1428
17:16:37.789816 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 31229:32657, ack 1, win 1339, options [nop,nop,TS val 3282009 ecr 3061966,mptcp dss ack 4086075562 seq 1489209944 subseq 31229 len 1428 csum 0x2d89], length 1428
17:16:37.798879 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 25517:26945, ack 1, win 1339, options [nop,nop,TS val 3281900 ecr 3061813,mptcp dss ack 4086075562 seq 1489204232 subseq 25517 len 1428 csum 0x824e], length 1428
17:16:37.807353 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 26945:28373, ack 1, win 1339, options [nop,nop,TS val 3281900 ecr 3061813,mptcp dss ack 4086075562 seq 1489205660 subseq 26945 len 1428 csum 0x84b], length 1428
17:16:37.900908 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 28373:29801, ack 1, win 1339, options [nop,nop,TS val 3281900 ecr 3061813,mptcp dss ack 4086075562 seq 1489207088 subseq 28373 len 1428 csum 0x14a8], length 1428
17:16:37.902429 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 26945:28373, ack 1, win 1339, options [nop,nop,TS val 3281900 ecr 3061813,mptcp dss ack 4086075562 seq 1489205660 subseq 26945 len 1428 csum 0x84b], length 1428
17:16:37.982186 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 32657:34085, ack 1, win 1339, options [nop,nop,TS val 3282099 ecr 3062066,mptcp dss ack 4086075562 seq 1489211372 subseq 32657 len 1428 csum 0xa933], length 1428
17:16:37.984845 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 28373:29801, ack 1, win 1339, options [nop,nop,TS val 3281900 ecr 3061813,mptcp dss ack 4086075562 seq 1489207088 subseq 28373 len 1428 csum 0x14a8], length 1428
17:16:37.990263 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 29801:31229, ack 1, win 1339, options [nop,nop,TS val 3281992 ecr 3061889,mptcp dss ack 4086075562 seq 1489208516 subseq 29801 len 1428 csum 0x3a49], length 1428
17:16:38.075662 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 34085:35513, ack 1, win 1339, options [nop,nop,TS val 3282176 ecr 3062104,mptcp dss ack 4086075562 seq 1489212800 subseq 34085 len 1428 csum 0xca24], length 1428
17:16:38.077431 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 29801:31229, ack 1, win 1339, options [nop,nop,TS val 3281992 ecr 3061889,mptcp dss ack 4086075562 seq 1489208516 subseq 29801 len 1428 csum 0x3a49], length 1428
17:16:38.091355 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 31229:32657, ack 1, win 1339, options [nop,nop,TS val 3282009 ecr 3061966,mptcp dss ack 4086075562 seq 1489209944 subseq 31229 len 1428 csum 0x2d89], length 1428
17:16:38.093213 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 35513:36941, ack 1, win 1339, options [nop,nop,TS val 3282204 ecr 3062197,mptcp dss ack 4086075562 seq 1489214228 subseq 35513 len 1428 csum 0xb6c9], length 1428
17:16:38.112587 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 36941:38369, ack 1, win 1339, options [nop,nop,TS val 3282204 ecr 3062197,mptcp dss ack 4086075562 seq 1489215656 subseq 36941 len 1428 csum 0xf3d], length 1428
17:16:38.184159 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 32657:34085, ack 1, win 1339, options [nop,nop,TS val 3282099 ecr 3062066,mptcp dss ack 4086075562 seq 1489211372 subseq 32657 len 1428 csum 0xa933], length 1428
17:16:38.187655 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 38369:39797, ack 1, win 1339, options [nop,nop,TS val 3282295 ecr 3062287,mptcp dss ack 4086075562 seq 1489217084 subseq 38369 len 1428 csum 0x9542], length 1428
17:16:38.199604 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 31229:32657, ack 1, win 1339, options [nop,nop,TS val 3282009 ecr 3061966,mptcp dss ack 4086075562 seq 1489209944 subseq 31229 len 1428 csum 0x2d89], length 1428
17:16:38.292159 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 32657:34085, ack 1, win 1339, options [nop,nop,TS val 3282099 ecr 3062066,mptcp dss ack 4086075562 seq 1489211372 subseq 32657 len 1428 csum 0xa933], length 1428
17:16:38.294960 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 34085:35513, ack 1, win 1339, options [nop,nop,TS val 3282176 ecr 3062104,mptcp dss ack 4086075562 seq 1489212800 subseq 34085 len 1428 csum 0xca24], length 1428
17:16:38.306553 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 39797:41225, ack 1, win 1339, options [nop,nop,TS val 3282386 ecr 3062375,mptcp dss ack 4086075562 seq 1489218512 subseq 39797 len 1428 csum 0x61a5], length 1428
17:16:38.310322 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 38369:39797, ack 1, win 1339, options [nop,nop,TS val 3282295 ecr 3062287,mptcp dss ack 4086075562 seq 1489217084 subseq 38369 len 1428 csum 0x9542], length 1428
17:16:38.313447 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 41225:42653, ack 1, win 1339, options [nop,nop,TS val 3282482 ecr 3062415,mptcp dss ack 4086075562 seq 1489219940 subseq 41225 len 1428 csum 0x5ade], length 1428
17:16:38.380397 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 34085:35513, ack 1, win 1339, options [nop,nop,TS val 3282176 ecr 3062104,mptcp dss ack 4086075562 seq 1489212800 subseq 34085 len 1428 csum 0xca24], length 1428
17:16:38.384499 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 42653:44081, ack 1, win 1339, options [nop,nop,TS val 3282700 ecr 3062596,mptcp dss ack 4086075562 seq 1489221368 subseq 42653 len 1428 csum 0x7a7c], length 1428
17:16:38.392383 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 35513:36941, ack 1, win 1339, options [nop,nop,TS val 3282204 ecr 3062197,mptcp dss ack 4086075562 seq 1489214228 subseq 35513 len 1428 csum 0xb6c9], length 1428
17:16:38.403322 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 44081:45509, ack 1, win 1339, options [nop,nop,TS val 3282700 ecr 3062596,mptcp dss ack 4086075562 seq 1489222796 subseq 44081 len 1428 csum 0x6b22], length 1428
17:16:38.410531 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 35513:36941, ack 1, win 1339, options [nop,nop,TS val 3282204 ecr 3062197,mptcp dss ack 4086075562 seq 1489214228 subseq 35513 len 1428 csum 0xb6c9], length 1428
17:16:38.480805 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 45509:46937, ack 1, win 1339, options [nop,nop,TS val 3282795 ecr 3062678,mptcp dss ack 4086075562 seq 1489224224 subseq 45509 len 1428 csum 0xf8c7], length 1428
17:16:38.502674 IP 112.26.0.1.36177 > 112.26.0.8.57542: Flags [.], seq 39797:41225, ack 1, win 1339, options [nop,nop,TS val 3282386 ecr 3062375,mptcp dss ack 4086075562 seq 1489218512 subseq 39797 len 1428 csum 0x61a5], length 1428
