20:39:27.394094 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [S], seq 2263806240, win 65535, options [mss 1460,sackOK,TS val 783148 ecr 0,nop,wscale 6,mptcp join id 3 token 0xbaf08251 nonce 0x994c8d18], length 0
20:39:27.447362 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [S], seq 2263806240, win 65535, options [mss 1460,sackOK,TS val 783148 ecr 0,nop,wscale 6,mptcp join id 3 token 0xbaf08251 nonce 0x994c8d18], length 0
20:39:27.725070 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2869940821, win 7300, options [nop,nop,TS val 783491 ecr 1004073,mptcp join hmac 0xa3da383c27000032e8efc1c8d500fb8ad0766c38], length 0
20:39:27.782699 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1, win 7300, options [nop,nop,TS val 783491 ecr 1004073,mptcp join hmac 0xa3da383c27000032e8efc1c8d500fb8ad0766c38], length 0
20:39:27.880074 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1, win 7300, options [nop,nop,TS val 783491 ecr 1004073,mptcp join hmac 0xa3da383c27000032e8efc1c8d500fb8ad0766c38], length 0
20:39:28.098322 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1429, win 7529, options [nop,nop,TS val 783874 ecr 1004416,mptcp dss ack 1969125454], length 0
20:39:28.098743 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1429, win 7529, options [nop,nop,TS val 783874 ecr 1004416,mptcp dss ack 1969125454], length 0
20:39:28.160645 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1429, win 7529, options [nop,nop,TS val 783874 ecr 1004416,mptcp dss ack 1969125454], length 0
20:39:28.246514 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2857, win 7711, options [nop,nop,TS val 784023 ecr 1004416,mptcp dss ack 1969126882], length 0
20:39:28.246886 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2857, win 7711, options [nop,nop,TS val 784023 ecr 1004416,mptcp dss ack 1969126882], length 0
20:39:28.295929 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2857, win 7711, options [nop,nop,TS val 784023 ecr 1004416,mptcp dss ack 1969126882], length 0
20:39:28.393101 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 4285, win 7848, options [nop,nop,TS val 784156 ecr 1004416,mptcp dss ack 1969134022], length 0
20:39:28.393429 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 4285, win 7848, options [nop,nop,TS val 784156 ecr 1004416,mptcp dss ack 1969134022], length 0
20:39:28.407236 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 4285, win 7848, options [nop,nop,TS val 784156 ecr 1004416,mptcp dss ack 1969134022], length 0
20:39:28.628838 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 5713, win 8076, options [nop,nop,TS val 784404 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.629195 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 5713, win 8076, options [nop,nop,TS val 784404 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.704360 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 5713, win 8076, options [nop,nop,TS val 784404 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.755620 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 7141, win 8167, options [nop,nop,TS val 784529 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.755926 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 7141, win 8167, options [nop,nop,TS val 784529 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.824533 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 7141, win 8167, options [nop,nop,TS val 784529 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.915682 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 8569, win 8395, options [nop,nop,TS val 784690 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:28.916004 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 8569, win 8395, options [nop,nop,TS val 784690 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.042105 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 9997, win 8578, options [nop,nop,TS val 784817 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.042490 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 9997, win 8578, options [nop,nop,TS val 784817 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.234980 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 11425, win 8760, options [nop,nop,TS val 785010 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.235268 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 11425, win 8760, options [nop,nop,TS val 785010 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.369628 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 8897, options [nop,nop,TS val 785145 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.369941 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 8897, options [nop,nop,TS val 785145 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.495350 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9080, options [nop,nop,TS val 785271 ecr 1004417,nop,nop,sack 1 {14281:15709},mptcp dss ack 1969139734], length 0
20:39:30.730769 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10585, options [nop,nop,TS val 786495 ecr 1004417,nop,nop,sack 2 {27133:28561}{22849:28561},mptcp dss ack 1969139734], length 0
20:39:30.731086 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10585, options [nop,nop,TS val 786495 ecr 1004417,nop,nop,sack 2 {27133:28561}{22849:28561},mptcp dss ack 1969139734], length 0
20:39:30.825750 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10722, options [nop,nop,TS val 786601 ecr 1004417,nop,nop,sack 2 {22849:29989}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.826088 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10722, options [nop,nop,TS val 786601 ecr 1004417,nop,nop,sack 2 {22849:29989}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.928603 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10859, options [nop,nop,TS val 786704 ecr 1004417,nop,nop,sack 2 {22849:31417}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.928926 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10859, options [nop,nop,TS val 786704 ecr 1004417,nop,nop,sack 2 {22849:31417}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:30.960664 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9901, options [nop,nop,TS val 785957 ecr 1004417,nop,nop,sack 2 {22849:24277}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:31.068374 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10996, options [nop,nop,TS val 786844 ecr 1004417,nop,nop,sack 2 {22849:32845}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:31.068700 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10996, options [nop,nop,TS val 786844 ecr 1004417,nop,nop,sack 2 {22849:32845}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:31.099609 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10266, options [nop,nop,TS val 786273 ecr 1004417,nop,nop,sack 2 {22849:27133}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:31.233718 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11179, options [nop,nop,TS val 787009 ecr 1004417,nop,nop,sack 2 {22849:34273}{14281:21421},mptcp dss ack 1969141162], length 0
20:39:31.234036 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11179, options [nop,nop,TS val 787009 ecr 1004417,nop,nop,sack 2 {22849:34273}{14281:21421},mptcp dss ack 1969141162], length 0
20:39:31.265484 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10403, options [nop,nop,TS val 786367 ecr 1004417,nop,nop,sack 2 {22849:28561}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:31.365943 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10585, options [nop,nop,TS val 786495 ecr 1004417,nop,nop,sack 2 {27133:28561}{22849:28561},mptcp dss ack 1969139734], length 0
20:39:31.378330 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11361, options [nop,nop,TS val 787154 ecr 1004417,nop,nop,sack 2 {22849:35701}{14281:21421},mptcp dss ack 1969141162], length 0
20:39:31.378646 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11361, options [nop,nop,TS val 787154 ecr 1004417,nop,nop,sack 2 {22849:35701}{14281:21421},mptcp dss ack 1969141162], length 0
20:39:31.502098 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11498, options [nop,nop,TS val 787265 ecr 1004417,nop,nop,sack 2 {22849:37129}{14281:21421},mptcp dss ack 1969141162], length 0
20:39:31.502369 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11498, options [nop,nop,TS val 787265 ecr 1004417,nop,nop,sack 2 {22849:37129}{14281:21421},mptcp dss ack 1969141162], length 0
20:39:31.538186 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10722, options [nop,nop,TS val 786601 ecr 1004417,nop,nop,sack 2 {22849:29989}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:31.623734 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11680, options [nop,nop,TS val 787400 ecr 1004417,nop,nop,sack 2 {22849:38557}{14281:21421},mptcp dss ack 1969141162], length 0
20:39:31.624046 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11680, options [nop,nop,TS val 787400 ecr 1004417,nop,nop,sack 2 {22849:38557}{14281:21421},mptcp dss ack 1969141162], length 0
20:39:31.688414 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10859, options [nop,nop,TS val 786704 ecr 1004417,nop,nop,sack 2 {22849:31417}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:31.790712 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 10996, options [nop,nop,TS val 786844 ecr 1004417,nop,nop,sack 2 {22849:32845}{14281:21421},mptcp dss ack 1969139734], length 0
20:39:31.881667 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11909, options [nop,nop,TS val 787656 ecr 1004417,nop,nop,sack 2 {39985:41413}{22849:38557},mptcp dss ack 1969141162], length 0
20:39:31.882003 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11909, options [nop,nop,TS val 787656 ecr 1004417,nop,nop,sack 2 {39985:41413}{22849:38557},mptcp dss ack 1969141162], length 0
20:39:31.915826 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11179, options [nop,nop,TS val 787009 ecr 1004417,nop,nop,sack 2 {22849:34273}{14281:21421},mptcp dss ack 1969141162], length 0
20:39:32.017665 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 21421, win 12091, options [nop,nop,TS val 787792 ecr 1007083,nop,nop,sack 2 {39985:41413}{22849:38557},mptcp dss ack 1969141162], length 0
20:39:32.017999 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 21421, win 12091, options [nop,nop,TS val 787792 ecr 1007083,nop,nop,sack 2 {39985:41413}{22849:38557},mptcp dss ack 1969141162], length 0
20:39:32.036281 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11361, options [nop,nop,TS val 787154 ecr 1004417,nop,nop,sack 2 {22849:35701}{14281:21421},mptcp dss ack 1969141162], length 0
20:39:32.153682 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 21421, win 12274, options [nop,nop,TS val 787918 ecr 1007083,nop,nop,sack 2 {42841:44269}{39985:41413},mptcp dss ack 1969141162], length 0
20:39:32.153999 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 21421, win 12274, options [nop,nop,TS val 787918 ecr 1007083,nop,nop,sack 2 {42841:44269}{39985:41413},mptcp dss ack 1969141162], length 0
20:39:32.156576 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11498, options [nop,nop,TS val 787265 ecr 1004417,nop,nop,sack 2 {22849:37129}{14281:21421},mptcp dss ack 1969141162], length 0
20:39:32.298769 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 38557, win 12456, options [nop,nop,TS val 788074 ecr 1007496,nop,nop,sack 2 {42841:44269}{39985:41413},mptcp dss ack 1969141162], length 0
20:39:32.299040 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 38557, win 12456, options [nop,nop,TS val 788074 ecr 1007496,nop,nop,sack 2 {42841:44269}{39985:41413},mptcp dss ack 1969141162], length 0
20:39:32.338358 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11680, options [nop,nop,TS val 787400 ecr 1004417,nop,nop,sack 2 {22849:38557}{14281:21421},mptcp dss ack 1969141162], length 0
20:39:32.418751 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 38557, win 12593, options [nop,nop,TS val 788193 ecr 1007496,nop,nop,sack 2 {42841:45697}{39985:41413},mptcp dss ack 1969141162], length 0
20:39:32.419114 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 38557, win 12593, options [nop,nop,TS val 788193 ecr 1007496,nop,nop,sack 2 {42841:45697}{39985:41413},mptcp dss ack 1969141162], length 0
20:39:32.477611 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 11909, options [nop,nop,TS val 787656 ecr 1004417,nop,nop,sack 2 {39985:41413}{22849:38557},mptcp dss ack 1969141162], length 0
20:39:32.577956 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 21421, win 12091, options [nop,nop,TS val 787792 ecr 1007083,nop,nop,sack 2 {39985:41413}{22849:38557},mptcp dss ack 1969141162], length 0
20:39:32.620237 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 38557, win 12867, options [nop,nop,TS val 788391 ecr 1007496,nop,nop,sack 2 {47125:48553}{42841:45697},mptcp dss ack 1969216846], length 0
20:39:32.620559 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 38557, win 12867, options [nop,nop,TS val 788391 ecr 1007496,nop,nop,sack 2 {47125:48553}{42841:45697},mptcp dss ack 1969216846], length 0
20:39:32.678001 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 21421, win 12274, options [nop,nop,TS val 787918 ecr 1007083,nop,nop,sack 2 {42841:44269}{39985:41413},mptcp dss ack 1969141162], length 0
20:39:32.755255 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 38557, win 13004, options [nop,nop,TS val 788530 ecr 1007496,nop,nop,sack 2 {47125:49981}{42841:45697},mptcp dss ack 1969216846], length 0
20:39:32.755523 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 38557, win 13004, options [nop,nop,TS val 788530 ecr 1007496,nop,nop,sack 2 {47125:49981}{42841:45697},mptcp dss ack 1969216846], length 0
20:39:32.806053 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 38557, win 12456, options [nop,nop,TS val 788074 ecr 1007496,nop,nop,sack 2 {42841:44269}{39985:41413},mptcp dss ack 1969141162], length 0
