20:12:17.758810 IP 112.26.0.8.33728 > 112.26.0.1.45881: Flags [S], seq 503274601, win 65535, options [mss 1460,sackOK,TS val 4294819233 ecr 0,nop,wscale 6,mptcp capable csum {0xe03f2f5bd5989db8}], length 0
20:12:17.776672 IP 112.26.0.8.33728 > 112.26.0.1.45881: Flags [S], seq 503274601, win 65535, options [mss 1460,sackOK,TS val 4294819233 ecr 0,nop,wscale 6,mptcp capable csum {0xe03f2f5bd5989db8}], length 0
20:12:17.842757 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [S.], seq 2940828125, ack 503274602, win 65535, options [mss 1460,sackOK,TS val 76724 ecr 4294819233,nop,wscale 6,mptcp capable csum {0x87139cfff9e67aae}], length 0
20:12:18.645894 IP 112.26.0.8.33728 > 112.26.0.1.45881: Flags [S], seq 503274601, win 65535, options [mss 1460,sackOK,TS val 4294820288 ecr 0,nop,wscale 6,mptcp capable csum {0xe03f2f5bd5989db8}], length 0
20:12:18.646748 IP 112.26.0.8.33728 > 112.26.0.1.45881: Flags [S], seq 503274601, win 65535, options [mss 1460,sackOK,TS val 4294820288 ecr 0,nop,wscale 6,mptcp capable csum {0xe03f2f5bd5989db8}], length 0
20:12:18.654230 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [S.], seq 2940828125, ack 503274602, win 65535, options [mss 1460,sackOK,TS val 77594 ecr 4294819233,nop,wscale 6,mptcp capable csum {0x87139cfff9e67aae}], length 0
20:12:18.853617 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], ack 1, win 1339, options [nop,nop,TS val 77799 ecr 4294820485,mptcp add-addr id 3 112.26.1.1,mptcp dss ack 3262968525], length 0
20:12:20.471400 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 28373:29801, ack 1, win 1339, options [nop,nop,TS val 79417 ecr 4294821468,mptcp dss ack 3262968525 seq 1976386417 subseq 28373 len 1428 csum 0x8d82], length 1428
20:12:20.549827 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 29801:31229, ack 1, win 1339, options [nop,nop,TS val 79417 ecr 4294821468,mptcp dss ack 3262968525 seq 1976387845 subseq 29801 len 1428 csum 0xb323], length 1428
20:12:20.562203 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 25517:26945, ack 1, win 1339, options [nop,nop,TS val 79287 ecr 4294821366,mptcp dss ack 3262968525 seq 1976383561 subseq 25517 len 1428 csum 0xfb28], length 1428
20:12:20.566182 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 25517:26945, ack 1, win 1339, options [nop,nop,TS val 79287 ecr 4294821366,mptcp dss ack 3262968525 seq 1976383561 subseq 25517 len 1428 csum 0xfb28], length 1428
20:12:20.577494 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 31229:32657, ack 1, win 1339, options [nop,nop,TS val 79488 ecr 4294821557,mptcp dss ack 3262968525 seq 1976389273 subseq 31229 len 1428 csum 0xa663], length 1428
20:12:20.636807 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 26945:28373, ack 1, win 1339, options [nop,nop,TS val 79287 ecr 4294821366,mptcp dss ack 3262968525 seq 1976384989 subseq 26945 len 1428 csum 0x8125], length 1428
20:12:20.649043 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 26945:28373, ack 1, win 1339, options [nop,nop,TS val 79287 ecr 4294821366,mptcp dss ack 3262968525 seq 1976384989 subseq 26945 len 1428 csum 0x8125], length 1428
20:12:20.665102 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 32657:34085, ack 1, win 1339, options [nop,nop,TS val 79488 ecr 4294821557,mptcp dss ack 3262968525 seq 1976390701 subseq 32657 len 1428 csum 0x220e], length 1428
20:12:20.688341 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 28373:29801, ack 1, win 1339, options [nop,nop,TS val 79417 ecr 4294821468,mptcp dss ack 3262968525 seq 1976386417 subseq 28373 len 1428 csum 0x8d82], length 1428
20:12:20.690898 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 28373:29801, ack 1, win 1339, options [nop,nop,TS val 79417 ecr 4294821468,mptcp dss ack 3262968525 seq 1976386417 subseq 28373 len 1428 csum 0x8d82], length 1428
20:12:20.746876 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 34085:35513, ack 1, win 1339, options [nop,nop,TS val 79619 ecr 4294821883,mptcp dss ack 3262968525 seq 1976392129 subseq 34085 len 1428 csum 0x42ff], length 1428
20:12:20.756480 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 29801:31229, ack 1, win 1339, options [nop,nop,TS val 79417 ecr 4294821468,mptcp dss ack 3262968525 seq 1976387845 subseq 29801 len 1428 csum 0xb323], length 1428
20:12:20.770545 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 29801:31229, ack 1, win 1339, options [nop,nop,TS val 79417 ecr 4294821468,mptcp dss ack 3262968525 seq 1976387845 subseq 29801 len 1428 csum 0xb323], length 1428
20:12:20.785379 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 35513:36941, ack 1, win 1339, options [nop,nop,TS val 79619 ecr 4294821883,mptcp dss ack 3262968525 seq 1976393557 subseq 35513 len 1428 csum 0x2fa4], length 1428
20:12:20.850999 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 31229:32657, ack 1, win 1339, options [nop,nop,TS val 79488 ecr 4294821557,mptcp dss ack 3262968525 seq 1976389273 subseq 31229 len 1428 csum 0xa663], length 1428
20:12:20.864759 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 31229:32657, ack 1, win 1339, options [nop,nop,TS val 79488 ecr 4294821557,mptcp dss ack 3262968525 seq 1976389273 subseq 31229 len 1428 csum 0xa663], length 1428
20:12:20.872152 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 36941:38369, ack 1, win 1339, options [nop,nop,TS val 79619 ecr 4294821883,mptcp dss ack 3262968525 seq 1976394985 subseq 36941 len 1428 csum 0x8817], length 1428
20:12:20.887216 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 32657:34085, ack 1, win 1339, options [nop,nop,TS val 79488 ecr 4294821557,mptcp dss ack 3262968525 seq 1976390701 subseq 32657 len 1428 csum 0x220e], length 1428
20:12:20.890928 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 32657:34085, ack 1, win 1339, options [nop,nop,TS val 79488 ecr 4294821557,mptcp dss ack 3262968525 seq 1976390701 subseq 32657 len 1428 csum 0x220e], length 1428
20:12:20.903116 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 38369:39797, ack 1, win 1339, options [nop,nop,TS val 79619 ecr 4294821883,mptcp dss ack 3262968525 seq 1976396413 subseq 38369 len 1428 csum 0xe1d], length 1428
20:12:20.958828 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 11237:12665, ack 1, win 1339, options [nop,nop,TS val 79711 ecr 4294821949,mptcp dss ack 3262968525 seq 1976369281 subseq 11237 len 1428 csum 0xf18d], length 1428
20:12:20.985574 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 15521:16949, ack 1, win 1339, options [nop,nop,TS val 79845 ecr 4294822067,mptcp dss ack 3262968525 seq 1976373565 subseq 15521 len 1428 csum 0xf17f], length 1428
20:12:21.048454 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 34085:35513, ack 1, win 1339, options [nop,nop,TS val 79619 ecr 4294821883,mptcp dss ack 3262968525 seq 1976392129 subseq 34085 len 1428 csum 0x42ff], length 1428
20:12:21.054113 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 34085:35513, ack 1, win 1339, options [nop,nop,TS val 79619 ecr 4294821883,mptcp dss ack 3262968525 seq 1976392129 subseq 34085 len 1428 csum 0x42ff], length 1428
20:12:21.075904 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 16949:18377, ack 1, win 1339, options [nop,nop,TS val 79921 ecr 4294822077,mptcp dss ack 3262968525 seq 1976374993 subseq 16949 len 1428 csum 0xdad3], length 1428
20:12:21.092410 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 35513:36941, ack 1, win 1339, options [nop,nop,TS val 79619 ecr 4294821883,mptcp dss ack 3262968525 seq 1976393557 subseq 35513 len 1428 csum 0x2fa4], length 1428
20:12:21.151524 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 18377:19805, ack 1, win 1339, options [nop,nop,TS val 80011 ecr 4294822156,mptcp dss ack 3262968525 seq 1976376421 subseq 18377 len 1428 csum 0xe41f], length 1428
20:12:21.154554 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 35513:36941, ack 1, win 1339, options [nop,nop,TS val 79619 ecr 4294821883,mptcp dss ack 3262968525 seq 1976393557 subseq 35513 len 1428 csum 0x2fa4], length 1428
20:12:21.183829 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 39797:41225, ack 1, win 1339, options [nop,nop,TS val 80118 ecr 4294822168,mptcp dss ack 3262968525 seq 1976397841 subseq 39797 len 1428 csum 0xda7f], length 1428
20:12:21.266937 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 41225:42653, ack 1, win 1339, options [nop,nop,TS val 80212 ecr 4294822272,mptcp dss ack 3262968525 seq 1976399269 subseq 41225 len 1428 csum 0xd3b8], length 1428
20:12:21.288431 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 36941:38369, ack 1, win 1339, options [nop,nop,TS val 79619 ecr 4294821883,mptcp dss ack 3262968525 seq 1976394985 subseq 36941 len 1428 csum 0x8817], length 1428
20:12:21.298667 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 36941:38369, ack 1, win 1339, options [nop,nop,TS val 79619 ecr 4294821883,mptcp dss ack 3262968525 seq 1976394985 subseq 36941 len 1428 csum 0x8817], length 1428
20:12:21.349087 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 42653:44081, ack 1, win 1339, options [nop,nop,TS val 80293 ecr 4294822354,mptcp dss ack 3262968525 seq 1976400697 subseq 42653 len 1428 csum 0xf356], length 1428
20:12:21.359507 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 38369:39797, ack 1, win 1339, options [nop,nop,TS val 79619 ecr 4294821883,mptcp dss ack 3262968525 seq 1976396413 subseq 38369 len 1428 csum 0xe1d], length 1428
20:12:21.363807 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 38369:39797, ack 1, win 1339, options [nop,nop,TS val 79619 ecr 4294821883,mptcp dss ack 3262968525 seq 1976396413 subseq 38369 len 1428 csum 0xe1d], length 1428
20:12:21.382363 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 11237:12665, ack 1, win 1339, options [nop,nop,TS val 80293 ecr 4294822389,mptcp dss ack 3262968525 seq 1976369281 subseq 11237 len 1428 csum 0xf18d], length 1428
20:12:21.391827 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 11237:12665, ack 1, win 1339, options [nop,nop,TS val 79711 ecr 4294821949,mptcp dss ack 3262968525 seq 1976369281 subseq 11237 len 1428 csum 0xf18d], length 1428
20:12:21.396408 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 11237:12665, ack 1, win 1339, options [nop,nop,TS val 79711 ecr 4294821949,mptcp dss ack 3262968525 seq 1976369281 subseq 11237 len 1428 csum 0xf18d], length 1428
20:12:21.462625 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 29801:31229, ack 1, win 1339, options [nop,nop,TS val 80330 ecr 4294822402,mptcp dss ack 3262968525 seq 1976387845 subseq 29801 len 1428 csum 0xb323], length 1428
20:12:21.482444 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 15521:16949, ack 1, win 1339, options [nop,nop,TS val 79845 ecr 4294822067,mptcp dss ack 3262968525 seq 1976373565 subseq 15521 len 1428 csum 0xf17f], length 1428
20:12:21.489545 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 15521:16949, ack 1, win 1339, options [nop,nop,TS val 79845 ecr 4294822067,mptcp dss ack 3262968525 seq 1976373565 subseq 15521 len 1428 csum 0xf17f], length 1428
20:12:21.545643 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 31229:32657, ack 1, win 1339, options [nop,nop,TS val 80416 ecr 4294822477,mptcp dss ack 3262968525 seq 1976389273 subseq 31229 len 1428 csum 0xa663], length 1428
20:12:21.565586 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 32657:34085, ack 1, win 1339, options [nop,nop,TS val 80426 ecr 4294822572,mptcp dss ack 3262968525 seq 1976390701 subseq 32657 len 1428 csum 0x220e], length 1428
20:12:21.574983 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 16949:18377, ack 1, win 1339, options [nop,nop,TS val 79921 ecr 4294822077,mptcp dss ack 3262968525 seq 1976374993 subseq 16949 len 1428 csum 0xdad3], length 1428
20:12:21.578068 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 16949:18377, ack 1, win 1339, options [nop,nop,TS val 79921 ecr 4294822077,mptcp dss ack 3262968525 seq 1976374993 subseq 16949 len 1428 csum 0xdad3], length 1428
20:12:21.592687 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 34085:35513, ack 1, win 1339, options [nop,nop,TS val 80512 ecr 4294822596,mptcp dss ack 3262968525 seq 1976392129 subseq 34085 len 1428 csum 0x42ff], length 1428
20:12:21.668205 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 35513:36941, ack 1, win 1339, options [nop,nop,TS val 80536 ecr 4294822758,mptcp dss ack 3262968525 seq 1976393557 subseq 35513 len 1428 csum 0x2fa4], length 1428
20:12:21.673487 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 39797:41225, ack 1, win 1339, options [nop,nop,TS val 80118 ecr 4294822168,mptcp dss ack 3262968525 seq 1976397841 subseq 39797 len 1428 csum 0xda7f], length 1428
20:12:21.677252 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 39797:41225, ack 1, win 1339, options [nop,nop,TS val 80118 ecr 4294822168,mptcp dss ack 3262968525 seq 1976397841 subseq 39797 len 1428 csum 0xda7f], length 1428
20:12:21.695504 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 36941:38369, ack 1, win 1339, options [nop,nop,TS val 80641 ecr 4294822801,mptcp dss ack 3262968525 seq 1976394985 subseq 36941 len 1428 csum 0x8817], length 1428
20:12:21.752793 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 41225:42653, ack 1, win 1339, options [nop,nop,TS val 80212 ecr 4294822272,mptcp dss ack 3262968525 seq 1976399269 subseq 41225 len 1428 csum 0xd3b8], length 1428
20:12:21.757865 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 41225:42653, ack 1, win 1339, options [nop,nop,TS val 80212 ecr 4294822272,mptcp dss ack 3262968525 seq 1976399269 subseq 41225 len 1428 csum 0xd3b8], length 1428
20:12:21.766143 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 38369:39797, ack 1, win 1339, options [nop,nop,TS val 80712 ecr 4294822996,mptcp dss ack 3262968525 seq 1976396413 subseq 38369 len 1428 csum 0xe1d], length 1428
20:12:21.788237 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 42653:44081, ack 1, win 1339, options [nop,nop,TS val 80293 ecr 4294822354,mptcp dss ack 3262968525 seq 1976400697 subseq 42653 len 1428 csum 0xf356], length 1428
20:12:21.791303 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 42653:44081, ack 1, win 1339, options [nop,nop,TS val 80293 ecr 4294822354,mptcp dss ack 3262968525 seq 1976400697 subseq 42653 len 1428 csum 0xf356], length 1428
20:12:21.872704 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 11237:12665, ack 1, win 1339, options [nop,nop,TS val 80293 ecr 4294822389,mptcp dss ack 3262968525 seq 1976369281 subseq 11237 len 1428 csum 0xf18d], length 1428
20:12:21.875739 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 11237:12665, ack 1, win 1339, options [nop,nop,TS val 80293 ecr 4294822389,mptcp dss ack 3262968525 seq 1976369281 subseq 11237 len 1428 csum 0xf18d], length 1428
20:12:21.885453 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 44081:45509, ack 1, win 1339, options [nop,nop,TS val 80830 ecr 4294823070,mptcp dss ack 3262968525 seq 1976402125 subseq 44081 len 1428 csum 0xe3fc], length 1428
20:12:21.955624 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 45509:46937, ack 1, win 1339, options [nop,nop,TS val 80830 ecr 4294823100,mptcp dss ack 3262968525 seq 1976403553 subseq 45509 len 1428 csum 0x71a2], length 1428
20:12:21.967286 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 46937:48365, ack 1, win 1339, options [nop,nop,TS val 80830 ecr 4294823100,mptcp dss ack 3262968525 seq 1976404981 subseq 46937 len 1428 csum 0xc03b], length 1428
20:12:21.974692 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 31229:32657, ack 1, win 1339, options [nop,nop,TS val 80416 ecr 4294822477,mptcp dss ack 3262968525 seq 1976389273 subseq 31229 len 1428 csum 0xa663], length 1428
20:12:21.987703 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 48365:49793, ack 1, win 1339, options [nop,nop,TS val 80830 ecr 4294823100,mptcp dss ack 3262968525 seq 1976406409 subseq 48365 len 1428 csum 0x5242], length 1428
20:12:22.050500 IP 112.26.0.1.45881 > 112.26.0.8.33728: Flags [.], seq 31229:32657, ack 1, win 1339, options [nop,nop,TS val 80416 ecr 4294822477,mptcp dss ack 3262968525 seq 1976389273 subseq 31229 len 1428 csum 0xa663], length 1428
